2020-07-31 16:57:23 status unpacked libgcc-s1:armhf 10-20200411-0ubuntu1
2020-07-31 16:57:23 install libgcrypt20:armhf <none> 1.8.5-5ubuntu1
2020-07-31 16:57:23 status half-installed libgcrypt20:armhf 1.8.5-5ubuntu1
2020-07-31 16:57:23 status unpacked libgcrypt20:armhf 1.8.5-5ubuntu1
2020-07-31 16:57:23 install libgpg-error0:armhf <none> 1.37-1
2020-07-31 16:57:23 status half-installed libgpg-error0:armhf 1.37-1
2020-07-31 16:57:24 status unpacked libgpg-error0:armhf 1.37-1
2020-07-31 16:57:24 install liblz4-1:armhf <none> 1.9.2-2
2020-07-31 16:57:24 status half-installed liblz4-1:armhf 1.9.2-2
2020-07-31 16:57:24 status unpacked liblz4-1:armhf 1.9.2-2
2020-07-31 16:57:24 install liblzma5:armhf <none> 5.2.4-1
2020-07-31 16:57:24 status half-installed liblzma5:armhf 5.2.4-1
2020-07-31 16:57:24 status unpacked liblzma5:armhf 5.2.4-1
2020-07-31 16:57:24 install libmount1:armhf <none> 2.34-0.1ubuntu9
2020-07-31 16:57:24 status half-installed libmount1:armhf 2.34-0.1ubuntu9
2020-07-31 16:57:24 status unpacked libmount1:armhf 2.34-0.1ubuntu9
2020-07-31 16:57:24 install libncurses6:armhf <none> 6.2-0ubuntu2
2020-07-31 16:57:24 status half-installed libncurses6:armhf 6.2-0ubuntu2
2020-07-31 16:57:24 status unpacked libncurses6:armhf 6.2-0ubuntu2
2020-07-31 16:57:24 install libncursesw6:armhf <none> 6.2-0ubuntu2
2020-07-31 16:57:24 status half-installed libncursesw6:armhf 6.2-0ubuntu2
2020-07-31 16:57:24 status unpacked libncursesw6:armhf 6.2-0ubuntu2
2020-07-31 16:57:24 install libpam-modules:armhf <none> 1.3.1-5ubuntu4
2020-07-31 16:57:24 status half-installed libpam-modules:armhf 1.3.1-5ubuntu4
2020-07-31 16:57:24 status unpacked libpam-modules:armhf 1.3.1-5ubuntu4
2020-07-31 16:57:24 install libpam-modules-bin:armhf <none> 1.3.1-5ubuntu4
2020-07-31 16:57:24 status half-installed libpam-modules-bin:armhf 1.3.1-5ubuntu4
2020-07-31 16:57:24 status unpacked libpam-modules-bin:armhf 1.3.1-5ubuntu4
2020-07-31 16:57:24 install libpam-runtime:all <none> 1.3.1-5ubuntu4
2020-07-31 16:57:24 status half-installed libpam-runtime:all 1.3.1-5ubuntu4
2020-07-31 16:57:24 status unpacked libpam-runtime:all 1.3.1-5ubuntu4
2020-07-31 16:57:24 install libpam0g:armhf <none> 1.3.1-5ubuntu4
2020-07-31 16:57:24 status half-installed libpam0g:armhf 1.3.1-5ubuntu4
2020-07-31 16:57:24 status unpacked libpam0g:armhf 1.3.1-5ubuntu4
2020-07-31 16:57:24 install libpcre2-8-0:armhf <none> 10.34-7
2020-07-31 16:57:24 status half-installed libpcre2-8-0:armhf 10.34-7
2020-07-31 16:57:24 status unpacked libpcre2-8-0:armhf 10.34-7
2020-07-31 16:57:24 install libpcre3:armhf <none> 2:8.39-12build1
2020-07-31 16:57:24 status half-installed libpcre3:armhf 2:8.39-12build1
2020-07-31 16:57:24 status unpacked libpcre3:armhf 2:8.39-12build1
2020-07-31 16:57:24 install libprocps8:armhf <none> 2:3.3.16-1ubuntu2
2020-07-31 16:57:24 status half-installed libprocps8:armhf 2:3.3.16-1ubuntu2
2020-07-31 16:57:24 status unpacked libprocps8:armhf 2:3.3.16-1ubuntu2
2020-07-31 16:57:24 install libselinux1:armhf <none> 3.0-1build2
2020-07-31 16:57:24 status half-installed libselinux1:armhf 3.0-1build2
2020-07-31 16:57:24 status unpacked libselinux1:armhf 3.0-1build2
2020-07-31 16:57:24 install libsemanage-common:all <none> 3.0-1build2
2020-07-31 16:57:24 status half-installed libsemanage-common:all 3.0-1build2
2020-07-31 16:57:25 status unpacked libsemanage-common:all 3.0-1build2
2020-07-31 16:57:25 install libsemanage1:armhf <none> 3.0-1build2
2020-07-31 16:57:25 status half-installed libsemanage1:armhf 3.0-1build2
2020-07-31 16:57:25 status unpacked libsemanage1:armhf 3.0-1build2
2020-07-31 16:57:25 install libsepol1:armhf <none> 3.0-1
2020-07-31 16:57:25 status half-installed libsepol1:armhf 3.0-1
